Nature du Format;nom_destination;indicatif;Valeur niveau Fraude
4;DOMINICAN REP GSM ORANGE;1849267;A
4;THAILAND GSM DTAC;668139;A
4;DOMINICAN REP GSM;1829288;A
4;SLOVAKIA GSM ORANGE;421906;A
4;BRAZIL GSM;55689;A
4;INDIA GSM;9181339;A
4;POLAND OLO;48225390;A
4;ALBANIA AMC;35587270;B
4;SOUTH AFRICA PRS;27390320;C
4;THAILAND GSM DTAC;6690721;A
4;DENMARK GSM TELIA;45604;A
4;SWEDEN GSM TELENOR;467635;A
4;PERU RURAL;514453;A
4;DOMINICAN REP LOCAL OTHER;18298930;A
4;INDIA GSM;9184989;A
4;BRAZIL GSM;55257;A
4;UK GSM O2;447820;A
4;INDIA GSM;9182668;A
4;NORWAY GSM TELENOR;474115;A
4;CHILE RUR;56732198;A
4;MEXICO GSM ZONE3;521422;A
4;SOUTH AFRICA PRS;2745001;C
4;PORTUGAL GSM VODAFONE;351659202;A
4;LATVIA OLO;3716501;E
4;JAMAICA GSM;1876781;B
4;DOMINICAN REP GSM;1829295;A
4;ESTONIA GSM EMT;372537;D
4;PHILIPPINES GSM GLOB;63817;B
4;POLAND OLO;48585365;A
4;INDIA GSM RELIANCE;918820;A
4;POLAND OLO;481774;A
4;BRAZIL GSM;55115024;A
4;BULGARIA OLO;35930719;A
4;DOMINICAN REP GSM;1809383;A
4;COLOMBIA GSM CLARO;57312;A
4;BRAZIL GSM;551195397;A
4;PERU RURAL;516562;A
4;UK GSM O2;4478932;A
4;INDIA GSM;9186930;A
4;AZERBAIJAN GSM;99444;C
4;SOUTH AFRICA PRS;27511250;C
4;DOMINICAN REP LOCAL OTHER;18092552;A
4;DOMINICAN REP GSM;1829654;A
4;BULGARIA OLO;359625;A
4;PORTUGAL GSM MEO;3516096;A
4;CHILE RUR;56752972;A
4;MOROCCO GSM IAM;212668;E
4;MAURITANIA GSM CHINGUITEL;22223;C
4;RUSSIA ZONE 2;7866;A
4;SPAIN GSM ORANGE;34691;A
4;DOMINICAN REP LOCAL OTHER;180973143;A
4;SWEDEN GSM TELENOR;4671000003;A
4;DOMINICAN REP LOCAL OTHER;18094730;A
4;INDIA GSM;9175469;A
4;INDIA GSM;9182349;A
4;DOMINICAN REP GSM;1809645;A
